Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
WEST BAY CONDOMINIUM,50 West Coast Crescent  #01-05 ,1,125,Strata,998000,-,7984,742,23-JAN-2020,Condominium,99 Yrs From 01/03/1991,1993,Resale,N.A,05,12,128035,West Region,Clementi
PEACH GARDEN,2 Peach Garden  #07-02 ,1,257,Strata,3988000,-,15518,1442,23-JAN-2020,Apartment,Freehold,1975,Resale,N.A,15,43,437603,Central Region,Marine Parade
HORIZON TOWERS,15 Leonie Hill Road  #15-04 ,1,243,Strata,3420000,-,14074,1308,23-JAN-2020,Condominium,99 Yrs From 17/08/1979,1984,Resale,N.A,09,23,239194,Central Region,River Valley
PARC ESTA,914 Sims Avenue  #03-62 ,1,69,Strata,1219000,-,17667,1641,23-JAN-2020,Apartment,99 Yrs From 12/07/2018,Uncompleted,New Sale,N.A,14,40,408973,Central Region,Geylang
HOLLAND COURT,144 Holland Road  #05-146 ,1,181,Strata,2980000,-,16464,1530,23-JAN-2020,Apartment,Freehold,Unknown,Resale,N.A,10,27,278576,Central Region,Bukit Timah
PEOPLE'S PARK COMPLEX,1 Park Road  #25-919 ,1,38,Strata,480000,-,12632,1174,23-JAN-2020,Apartment,99 Yrs From 25/03/1968,1972,Resale,N.A,01,05,059108,Central Region,Outram
REFLECTIONS AT KEPPEL BAY,29 Keppel Bay View  #30-86 ,1,205,Strata,3500000,-,17073,1586,23-JAN-2020,Condominium,99 Yrs From 15/03/2006,2011,Resale,N.A,04,09,098417,Central Region,Bukit Merah
HIGH PARK RESIDENCES,29 Fernvale Road  #02-37 ,1,63,Strata,800000,-,12698,1180,23-JAN-2020,Apartment,99 Yrs From 05/11/2014,2019,Sub Sale,HDB,28,79,797416,North East Region,Sengkang
HILLCREST VILLA,5B Hillcrest Road ,1,292,Strata,3050000,-,10445,970,23-JAN-2020,Terrace House,99 Yrs From 03/08/2006,2009,Resale,N.A,11,28,286680,Central Region,Bukit Timah
NANYANG PARK,39 Chuan Hoe Avenue ,1,218,Land,3150000,-,14450,1342,23-JAN-2020,Terrace House,999 Yrs From 14/02/1881,Unknown,Resale,HDB,19,54,549842,North East Region,Hougang
SERANGOON GARDEN ESTATE,29 Cowdray Avenue ,1,275,Land,3070000,-,11151,1036,23-JAN-2020,Terrace House,999 Yrs From 01/01/1954,Unknown,Resale,HDB,19,55,558030,North East Region,Serangoon
HORIZON GARDENS,341 Ang Mo Kio Avenue 2 ,1,278,Strata,1810000,-,6511,605,23-JAN-2020,Terrace House,99 Yrs From 23/06/1995,2002,Resale,HDB,20,56,567826,North East Region,Ang Mo Kio
N.A.,170 Pasir Panjang Road ,1,158,Land,2199000,-,13883,1290,23-JAN-2020,Terrace House,Freehold,Unknown,Resale,N.A,05,11,118557,Central Region,Queenstown
AUSTVILLE RESIDENCES,21 Sengkang East Avenue  #05-24 ,1,95,Strata,888000,-,9347,868,23-JAN-2020,Executive Condominium,99 Yrs From 24/08/2010,2014,Resale,HDB,19,54,544809,North East Region,Sengkang
AQUARIUS BY THE PARK,9 Bedok Reservoir View  #06-04 ,1,123,Strata,1190000,-,9675,899,23-JAN-2020,Condominium,99 Yrs From 12/06/1996,2001,Resale,N.A,16,47,478930,East Region,Bedok
THE GLADES,12 Bedok Rise  #11-47 ,1,42,Strata,678000,-,16143,1500,23-JAN-2020,Condominium,99 Yrs From 21/01/2013,2016,Resale,N.A,16,46,465407,East Region,Bedok
THE BOULEVARD RESIDENCE,6 Cuscaden Walk  #20-01 ,1,189,Strata,4780000,-,25291,2350,23-JAN-2020,Apartment,Freehold,2005,Resale,HDB,10,24,249691,Central Region,River Valley
PIERMONT GRAND,42 Sumang Walk  #05-41 ,1,90,Strata,1029510,-,11439,1063,23-JAN-2020,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828626,North East Region,Punggol
THE CASCADIA,945 Bukit Timah Road  #03-56 ,1,82,Strata,1530000,-,18659,1733,23-JAN-2020,Condominium,Freehold,2010,Resale,HDB,21,58,589660,Central Region,Bukit Timah
CASA MERAH,52 Tanah Merah Kechil Avenue  #11-08 ,1,114,Strata,1450000,-,12719,1182,23-JAN-2020,Apartment,99 Yrs From 11/07/2006,2009,Resale,N.A,16,46,465525,East Region,Bedok
LEEDON GREEN,26 Leedon Heights  #07-07 ,1,97,Strata,2912300,-,30024,2789,23-JAN-2020,Condominium,Freehold,Uncompleted,New Sale,N.A,10,26,266221,Central Region,Bukit Timah
LEEDON GREEN,28 Leedon Heights  #03-10 ,1,65,Strata,1925500,-,29623,2752,23-JAN-2020,Condominium,Freehold,Uncompleted,New Sale,N.A,10,26,266222,Central Region,Bukit Timah
THE INFLORA,65 Flora Drive  #03-42 ,1,43,Strata,515000,-,11977,1113,23-JAN-2020,Condominium,99 Yrs From 25/05/2012,2016,Resale,HDB,17,50,506849,East Region,Pasir Ris
PARC ESTA,908 Sims Avenue  #10-42 ,1,114,Strata,2054000,-,18018,1674,23-JAN-2020,Apartment,99 Yrs From 12/07/2018 ,Uncompleted,New Sale,N.A,14,40,408970,Central Region,Geylang
SUITES DE LAUREL,2 Jalan Anak Bukit  #05-07 ,1,121,Strata,1180000,-,9752,906,23-JAN-2020,Apartment,999 Yrs From 10/06/1885,2012,Resale,N.A,21,58,588997,Central Region,Bukit Timah
PALM GARDENS,2D Hong San Walk  #02-08 ,1,113,Strata,855000,-,7566,703,23-JAN-2020,Condominium,99 Yrs From 12/08/1996,2000,Resale,HDB,23,68,689050,West Region,Choa Chu Kang
THE CASCADIA,923 Bukit Timah Road  #03-07 ,1,109,Strata,2000000,-,18349,1705,23-JAN-2020,Condominium,Freehold,2010,Resale,HDB,21,58,589639,Central Region,Bukit Timah
LUXUS HILLS,52 Luxus Hill Drive ,1,150,Land,3038000,-,20253,1882,23-JAN-2020,Terrace House,999 Yrs From 01/01/1879,2018,Resale,N.A,28,80,804783,North East Region,Serangoon
LIVIA,65 Pasir Ris Grove  #03-10 ,1,125,Strata,1185000,-,9480,881,23-JAN-2020,Condominium,99 Yrs From 07/01/2008,2011,Resale,N.A,18,51,518217,East Region,Pasir Ris
ROYALGREEN,2 Anamalai Avenue  #01-06 ,1,100,Strata,2863000,-,28630,2660,23-JAN-2020,Condominium,Freehold,Uncompleted,New Sale,N.A,10,27,279988,Central Region,Bukit Timah
MONT BOTANIK RESIDENCE,2K Jalan Remaja  #10-06 ,1,72,Strata,1399000,-,19431,1805,23-JAN-2020,Condominium,Freehold,Uncompleted,New Sale,N.A,23,66,668728,West Region,Bukit Batok
AVALON,25 Anderson Road  #08-01 ,1,108,Strata,2180000,-,20185,1875,23-JAN-2020,Condominium,Freehold,1999,Resale,N.A,10,25,259986,Central Region,Tanglin
ARTRA,10 Alexandra View  #41-05 ,1,73,Strata,1682400,-,23047,2141,23-JAN-2020,Apartment,99 Yrs From 15/02/2016,Uncompleted,New Sale,N.A,03,15,158745,Central Region,Bukit Merah
SKY@ELEVEN,5 Thomson Lane  #18-02 ,1,252,Strata,4450000,-,17659,1641,23-JAN-2020,Condominium,Freehold,2010,Resale,N.A,11,29,297724,Central Region,Toa Payoh
